ID,BS1D,BS1S,BS2D,BS2S,BS3D,BS3S,BS4D,BS4S,BS5D,BS5S,BS6D,BS6S,BS7D,BS7D,PS1D,PS1S,PS2D,PS2S,PS3D,PS3S,PS4D,PS4S,PS5D,PS5S,PS6D,PS6S,PS7D,PS7S
COG0,0.0200401,0.0801603,0,0.0200401,0,0.0200401,0.0601202,0.0200401,0.0400802,0.0200401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG1000,0.13154,0.173393,0.077728,0.0896861,0.0538117,0.0657698,0.137519,0.107623,0.083707,0.0538117,0.077728,0.0418535,0.13154,0.13154,0.083707,0.113602,0.113602,0.0538117,0,0.077728,0.221226,0.179372,0.119581,0.101644,0,0.0358744,0.179372,0.0478326
COG100,0.122072,0.0709723,0.0511001,0.0312278,0.0113556,0.0227111,0.110717,0.0425834,0.0511001,0.0397445,0.0425834,0.0596167,0.0511001,0.0511001,0.0397445,0.0340667,0.0340667,0.0141945,0.00567779,0.0141945,0.02555,0.053939,0.0141945,0.0312278,0,0.0369056,0.079489,0.0283889
COG10,0.0928418,0.0628048,0.0191145,0.0573435,0.00273064,0.0218451,0.076458,0.0518822,0.0436903,0.0464209,0.0409596,0.0163838,0.0218451,0.0218451,0.0218451,0.0191145,0.0163838,0.0109226,0.0956652,0.0109226,0.0191145,0.0300371,0.00273064,0.00819192,0.077728,0.0163838,0.0327677,0.0191145
COG1002,0.013258,0.06629,0.026516,0.053032,0,0.013258,0.079548,0.013258,0.013258,0.026516,0,0.026516,0,0,0,0,0,0,0,0,0.013258,0,0,0,0,0,0,0.013258
COG10024,0,0.0636943,0,0,0,0,0,0,0,0,0,0.343949,0,0,0.0509554,0.0509554,0.0509554,0.089172,0.0254777,0.0636943,0.152866,0.0764331,0.101911,0.0509554,0,0,0.152866,0
COG10029,0.0348004,0.0522006,0.0174002,0.0522006,0.0174002,0.0174002,0.0174002,0.0174002,0.0174002,0.0348004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0174002
COG10045,0.0409165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG10047,0.0192431,0.0406243,0.00641437,0.0128287,0,0.00855249,0.0128287,0.00213812,0.00213812,0.00213812,0,0.00641437,0.00427625,0.00427625,0,0,0,0,0,0.00213812,0,0,0,0,0,0,0,0.00213812
COG1005,0.271535,0.185253,0.124348,0.0989708,0.071056,0.0431411,0.109122,0.116735,0.134499,0.0964331,0.0989708,0.0786691,0.149725,0.149725,0.0279148,0.0329903,0.0279148,0.0583674,0.00507543,0.00761314,0.0304526,0.0482165,0.0203017,0.0253771,0,0.0279148,0.0558297,0.035528
COG10054,0,0.00811564,0.00811564,0,0,0,0.0162313,0,0.00811564,0,0.00811564,0,0.00811564,0.00811564,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG10062,0,0,0,0,0,0,0,0.0131449,0,0.00657246,0,0.0131449,0,0,0,0,0,0,0.0131449,0,0.0262898,0.00657246,0.00657246,0,0,0,0,0
COG10064,0.0226629,0.124646,0.00566572,0.0509915,0,0.0169972,0.0226629,0.0169972,0.0113314,0.0226629,0,0.00566572,0,0,0,0.00566572,0,0,0,0,0,0,0,0,0,0,0,0.0113314
COG1007,0.0923902,0.118787,0.0131986,0.0791916,0.0131986,0.0131986,0.145185,0.065993,0.0395958,0.0131986,0.0395958,0.0131986,0.0527944,0.0527944,0.0131986,0,0,0,0,0,0,0,0,0,0,0.0131986,0,0
COG10073,0.0233021,0.0854411,0.0388369,0.0310695,0.0233021,0.0116511,0.062139,0.0582553,0.0388369,0.0233021,0.0349532,0.0194184,0.0427206,0.0427206,0.0233021,0.00388369,0.0116511,0.0116511,0.00776738,0,0.00776738,0.0155348,0.0194184,0.00388369,0.00388369,0.0194184,0.0233021,0.00388369
COG10077,0.0480996,0.054971,0.0137427,0.0274855,0.00687137,0.00687137,0.0206141,0.00687137,0.00687137,0.00687137,0.00687137,0,0.00687137,0.00687137,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00687137
COG10085,0,0.179743,0.0128388,0.0770328,0,0.0256776,0.0385164,0,0.0128388,0.0256776,0,0.0128388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG10088,0.284698,0.204626,0.160142,0.17497,0.0919336,0.136418,0.237248,0.180902,0.237248,0.183867,0.228351,0.201661,0.145314,0.145314,0.0385528,0.059312,0.0415184,0.0533808,0.0385528,0.0771056,0.112693,0.088968,0.0771056,0.0266904,0.0474496,0.0978648,0.133452,0.07414
COG1009,0.122469,0.138583,0.0483429,0.0612344,0.0128914,0.02256,0.0709029,0.0580115,0.0515658,0.0515658,0.0354515,0.0515658,0.0644572,0.0644572,0.0161143,0.00966858,0.00644572,0.00322286,0.00966858,0.0193372,0.00644572,0.0161143,0.0128914,0.00966858,0.00966858,0.00966858,0.02256,0.0193372
COG10091,0.0186196,0.0418941,0.0139647,0.0232745,0,0.0046549,0.00930979,0.0046549,0.0046549,0.0046549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0046549
