cruiseid  lat        lon         date       year  month  day  yrday_gmt  depth  sigma_0  temp       sal        Abundance_e9312  Standard_Deviation_e9312  Abundance_eMED4  Standard_Deviation_eMED4  Abundance_NATL  Standard_Deviation_eNATL  Abundancee_SS120  Standard_Deviation_eSS120  Abundancee_9313  Standard_Deviation_e9313  
170       31.6667    -64.1667    11/13/02   2002  11     13   27302400   1      nd       24.532     36.573     4.25E+04         nd                        5.67E+02         nd                        1.53E+01        nd                        6.50E-01          nd                         6.50E-01         nd                        
170       31.6667    -64.1667    11/13/02   2002  11     13   27302400   10     nd       24.510     36.573     4.39E+04         nd                        6.42E+02         nd                        1.81E+01        nd                        6.50E-01          nd                         6.50E-01         nd                        
170       31.6667    -64.1667    11/13/02   2002  11     13   27302400   20     nd       24.486     36.572     4.55E+04         nd                        7.27E+02         nd                        2.12E+01        nd                        6.50E-01          nd                         6.50E-01         nd                        
170       31.6667    -64.1667    11/13/02   2002  11     13   27302400   40     nd       24.332     36.564     5.74E+04         nd                        5.03E+02         nd                        4.86E+01        nd                        6.50E-01          nd                         6.50E-01         nd                        
170       31.6667    -64.1667    11/13/02   2002  11     13   27302400   60     nd       24.232     36.555     4.25E+04         nd                        3.62E+02         nd                        1.46E+02        nd                        7.25E-01          nd                         2.57E+00         nd                        
170       31.6667    -64.1667    11/13/02   2002  11     13   27302400   80     nd       22.074     36.683     1.03E+05         nd                        1.08E+04         nd                        8.45E+01        nd                        6.50E-01          nd                         9.59E-01         nd                        
170       31.6667    -64.1667    11/13/02   2002  11     13   27302400   100    nd       20.981     36.686     4.95E+04         nd                        2.85E+03         nd                        3.43E+03        nd                        2.45E+00          nd                         2.07E+03         nd                        
170       31.6667    -64.1667    11/13/02   2002  11     13   27302400   120    nd       20.195     36.703     7.51E+02         nd                        1.85E+01         nd                        2.63E+02        nd                        2.40E+03          nd                         2.01E+03         nd                        
170       31.6667    -64.1667    11/13/02   2002  11     13   27302400   140    nd       19.497     36.645     9.68E+01         nd                        2.77E+00         nd                        5.02E+01        nd                        4.27E+02          nd                         1.23E+03         nd                        
170       31.6667    -64.1667    11/13/02   2002  11     13   27302400   160    nd       19.375     36.641     1.02E+02         nd                        1.93E+00         nd                        2.61E+01        nd                        2.19E+02          nd                         6.88E+02         nd                        
170       31.6667    -64.1667    11/13/02   2002  11     13   27302400   180    nd       19.252     36.637     1.07E+02         nd                        1.10E+00         nd                        2.07E+00        nd                        1.06E+01          nd                         1.49E+02         nd                        
170       31.6667    -64.1667    11/13/02   2002  11     13   27302400   200    nd       nd         nd         1.98E+02         nd                        1.04E+01         nd                        1.76E+01        nd                        8.99E-01          nd                         1.64E+01         nd                        
171       31.6667    -64.1667    12/11/02   2002  12     11   29721600   1      25.081   23.396     36.662     4.77E+04         nd                        7.31E+02         nd                        2.75E+02        nd                        1.59E+00          nd                         1.22E+01         nd                        
171       31.6667    -64.1667    12/11/02   2002  12     11   29721600   10     25.080   23.400     36.662     2.42E+04         nd                        4.01E+02         nd                        1.46E+02        nd                        8.79E-01          nd                         2.69E+00         nd                        
171       31.6667    -64.1667    12/11/02   2002  12     11   29721600   20     25.080   23.406     36.663     3.51E+04         nd                        5.46E+02         nd                        2.10E+02        nd                        1.01E+00          nd                         7.05E+00         nd                        
171       31.6667    -64.1667    12/11/02   2002  12     11   29721600   40     25.080   23.410     36.664     3.96E+04         nd                        5.73E+02         nd                        2.05E+02        nd                        1.43E+00          nd                         6.55E+00         nd                        
171       31.6667    -64.1667    12/11/02   2002  12     11   29721600   60     25.081   23.417     36.666     2.18E+04         nd                        3.98E+02         nd                        3.43E+02        nd                        7.40E-01          nd                         2.86E+01         nd                        
171       31.6667    -64.1667    12/11/02   2002  12     11   29721600   80     25.196   22.745     36.558     3.55E+04         nd                        2.94E+02         nd                        3.84E+02        nd                        6.50E-01          nd                         6.50E-01         nd                        
171       31.6667    -64.1667    12/11/02   2002  12     11   29721600   100    25.267   22.526     36.568     4.13E+04         nd                        3.16E+02         nd                        1.01E+03        nd                        6.50E-01          nd                         2.76E+00         nd                        
171       31.6667    -64.1667    12/11/02   2002  12     11   29721600   120    25.730   21.349     36.739     1.07E+03         nd                        4.95E+01         nd                        4.19E+02        nd                        9.13E-01          nd                         1.44E+03         nd                        
171       31.6667    -64.1667    12/11/02   2002  12     11   29721600   140    25.914   20.792     36.778     5.44E+02         nd                        1.17E+01         nd                        1.82E+02        nd                        1.18E+00          nd                         6.56E+02         nd                        
171       31.6667    -64.1667    12/11/02   2002  12     11   29721600   160    26.145   19.549     36.644     7.17E+01         nd                        9.27E-01         nd                        4.57E+00        nd                        6.50E-01          nd                         1.21E+02         nd                        
171       31.6667    -64.1667    12/11/02   2002  12     11   29721600   180    26.188   19.362     36.635     5.02E+01         nd                        9.16E-01         nd                        1.62E+00        nd                        6.50E-01          nd                         3.17E+01         nd                        
171       31.6667    -64.1667    12/11/02   2002  12     11   29721600   200    26.230   19.175     36.626     8.77E+01         nd                        1.29E+00         nd                        6.50E-01        nd                        6.50E-01          nd                         2.66E+01         nd                        
172       31.6667    -64.1667    02/05/03   2003  02     05   34560000   1      25.853   20.816     36.716     5.00E+04         nd                        4.43E+02         nd                        1.58E+03        nd                        6.50E-01          nd                         6.50E-01         nd                        
172       31.6667    -64.1667    02/05/03   2003  02     05   34560000   10     25.855   20.810     36.716     3.69E+04         nd                        4.40E+02         nd                        1.16E+03        nd                        6.50E-01          nd                         6.92E-01         nd                        
172       31.6667    -64.1667    02/05/03   2003  02     05   34560000   20     25.856   20.807     36.716     5.03E+04         nd                        5.81E+02         nd                        1.65E+03        nd                        6.50E-01          nd                         1.10E+00         nd                        
172       31.6667    -64.1667    02/05/03   2003  02     05   34560000   40     25.858   20.806     36.717     5.99E+04         nd                        9.04E+02         nd                        1.91E+03        nd                        9.12E-01          nd                         4.54E+00         nd                        
172       31.6667    -64.1667    02/05/03   2003  02     05   34560000   60     25.863   20.804     36.722     3.56E+04         nd                        5.38E+02         nd                        1.90E+03        nd                        6.50E-01          nd                         3.52E+00         nd                        
172       31.6667    -64.1667    02/05/03   2003  02     05   34560000   80     25.893   20.667     36.710     2.24E+04         nd                        2.33E+02         nd                        7.87E+02        nd                        6.35E+00          nd                         3.13E+01         nd                        
172       31.6667    -64.1667    02/05/03   2003  02     05   34560000   100    25.958   20.428     36.709     1.57E+04         nd                        2.92E+02         nd                        8.32E+02        nd                        7.34E+00          nd                         5.43E+01         nd                        
172       31.6667    -64.1667    02/05/03   2003  02     05   34560000   120    25.971   20.377     36.707     8.69E+03         nd                        3.67E+02         nd                        6.61E+02        nd                        6.50E-01          nd                         1.12E+01         nd                        
172       31.6667    -64.1667    02/05/03   2003  02     05   34560000   140    25.982   20.344     36.708     3.80E+03         nd                        2.45E+02         nd                        4.82E+02        nd                        8.90E-01          nd                         1.53E+01         nd                        
172       31.6667    -64.1667    02/05/03   2003  02     05   34560000   160    26.086   19.889     36.685     1.85E+03         nd                        7.52E+01         nd                        1.74E+02        nd                        1.39E+01          nd                         2.89E+02         nd                        
172       31.6667    -64.1667    02/05/03   2003  02     05   34560000   180    26.164   19.508     36.655     1.58E+02         nd                        4.67E+00         nd                        5.99E+00        nd                        8.11E-01          nd                         1.08E+02         nd                        
172       31.6667    -64.1667    02/05/03   2003  02     05   34560000   200    26.242   19.127     36.625     4.70E+01         nd                        2.10E+00         nd                        3.28E+00        nd                        9.19E-01          nd                         7.75E+01         nd                        
173       31.6667    -64.1667    02/21/03   2003  02     21   35942400   1      25.927   20.596     36.735     6.71E+04         nd                        8.75E+02         nd                        2.81E+03        nd                        6.50E-01          nd                         6.50E-01         nd                        
173       31.6667    -64.1667    02/21/03   2003  02     21   35942400   10     25.955   20.479     36.729     4.78E+04         nd                        1.03E+03         nd                        1.49E+03        nd                        6.50E-01          nd                         6.50E-01         nd                        
173       31.6667    -64.1667    02/21/03   2003  02     21   35942400   20     25.978   20.356     36.715     4.23E+04         nd                        1.17E+03         nd                        1.37E+03        nd                        6.50E-01          nd                         6.50E-01         nd                        
173       31.6667    -64.1667    02/21/03   2003  02     21   35942400   40     25.999   20.241     36.701     7.45E+04         nd                        1.75E+03         nd                        4.53E+03        nd                        6.50E-01          nd                         7.45E-01         nd                        
173       31.6667    -64.1667    02/21/03   2003  02     21   35942400   60     26.020   20.130     36.688     3.33E+04         nd                        6.07E+02         nd                        3.48E+03        nd                        7.30E+00          nd                         1.72E+02         nd                        
173       31.6667    -64.1667    02/21/03   2003  02     21   35942400   80     26.070   19.894     36.670     6.66E+03         nd                        1.02E+02         nd                        6.58E+02        nd                        7.45E-01          nd                         1.63E+01         nd                        
173       31.6667    -64.1667    02/21/03   2003  02     21   35942400   100    26.076   19.875     36.670     2.17E+04         nd                        3.52E+02         nd                        3.16E+03        nd                        4.44E+01          nd                         4.69E+02         nd                        
173       31.6667    -64.1667    02/21/03   2003  02     21   35942400   120    26.080   19.851     36.666     1.25E+04         nd                        1.45E+02         nd                        1.36E+03        nd                        6.50E-01          nd                         7.37E-01         nd                        
173       31.6667    -64.1667    02/21/03   2003  02     21   35942400   140    26.089   19.792     36.656     9.87E+03         nd                        1.85E+02         nd                        7.27E+02        nd                        6.50E-01          nd                         1.08E+00         nd                        
173       31.6667    -64.1667    02/21/03   2003  02     21   35942400   160    26.112   19.678     36.646     6.01E+03         nd                        1.32E+02         nd                        6.67E+02        nd                        6.50E-01          nd                         1.81E+00         nd                        
173       31.6667    -64.1667    02/21/03   2003  02     21   35942400   180    25.982   20.344     36.708     2.52E+02         nd                        1.06E+01         nd                        1.52E+02        nd                        6.50E-01          nd                         2.05E+00         nd                        
173       31.6667    -64.1667    02/21/03   2003  02     21   35942400   200    25.996   20.291     36.707     9.95E+01         nd                        2.77E+00         nd                        5.13E+01        nd                        6.50E-01          nd                         2.32E+01         nd                        
